topic id,Connected nodes
142,"[   1    9    8   16    2   39   14   13   40   68   11    0   89  129
  132  139  174   67  182  146  255   65  299 9288  279  336  821  368
  862  317  208  283 6115 7543 7846 7636 7953 9267 9240 8346 6359 6306]"
146,[7 1 2 9]
145,[ 7 16  9 12 23]
151,"[   1   29    9   12    5    7   16  182  167   67  101   72   85  108
  342   68  168  283  805 1368  112 1109   84 2392 7600 1558 9144 9112
 7508 9475]"
144,"[   8   40    9   39    2    3    7   14   41    1   12   23    5   85
   89    4   64   49  158  283  288 6712 1558  333    0 8816 6359 9446
 8192]"
588,[ 0  9 13 67 53 81]
147,[   1   13   12  100    5    4   68  108   29 2871 2392]
148,"[   1   29    4    7   37   54   19   64   16 1772    0  821  288 8650
 9482 9217]"
153,"[   2   16    5    4   33   13    7    9   41    1   35   12    0   56
   68 6322   53   89   91   29  100  114  108  132  125  131  140  104
   28   84   63  191  197    3   49 6278 6168  139  158   14  261  246
  315  279  326   67 6321 7481 7730  274  168  161  283 1104  364 1558
 1772 2082  239 2099 5359 2306 6098 5333 6190 6359 7575 6156 6113 6155
 2037 7643 7720 9149 7600 8165 8982 9475 9150 9176 9144 9288 7636 9496
 7424 6269 9679 9393 9784   85 9876 9304]"
5587,"[9626 1558 7543 9144    7 9288 7636  132    1 9335  281 7481 8816   68
 9621 9606 9617  287 8165 9679]"
150,[   1    4   11   29   73 6359 7600]
152,"[   1    5    4    0   13    9   16  108   49  132   68  173  188  130
   72  168  246  261  279  255  239 2113  495 2392  288 2306 6207  274
 6106 9548 9144  505 9668 6113]"
156,[25  4  7  2  1  9]
296,[ 56 104 188 283]
155,[  9  67 173   7]
157,[43  5  7 11  2  1  9 12 14  8]
158,[ 5 43  4 37 12]
170,[16  7  2 35  8 40]
159,"[   7    9    5    2   14   13   16   49    4   65    3    6   11   67
   19   56   44  101  108  143  130   53   72  132    1    0  240  261
  246  279   68  302  364 3491  274 5359 4151 2392  821  288 6113 2082
 6117 2306 4873 6269 6254 6122 2820 6321 6274 7719]"
160,[ 8 44  2  1  9 22  3]
164,[ 1  2 16  7  5  9  0 37 23 56 49]
162,[0 9]
163,[14  8  3  0 16  9  2  7]
377,[ 85   5   7   4  56  86 326  67   0 288]
450,[67 61 64 94  7  9]
167,[ 8 37  0  3 35]
252,[62  8  7  3 35 16  2  9 14]
168,[35]
169,[  1  11   9  12  23  47  40  16   7   2  37  49 152]
171,[16  4  5 12  9 23  3  2 48  8  1 11 47 49]
177,[11  5  1 16 40  7  4 12 23 13]
263,[  7   2  64  61  49   9   5   1  16  23   0  85 158 130 183]
172,[48  1 12  3  9 35  8 11]
174,[11 19  4 12  9 16  3 47]
